epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.41064,0.92965,5.00875,1.10253,0,0,0,0,0.73012,4.42168,1.30802,0,0,0
2,3.17577,1.05232,5.02615,1.22289,0,0,0,0,0.70173,4.42999,1.28268,6.60397e-06,6.60397e-06,6.60397e-06
3,3.91572,1.04507,4.69593,1.16279,0,0,0,0,0.68656,4.44196,1.27868,1.30759e-05,1.30759e-05,1.30759e-05
4,4.57987,0.99599,4.99855,1.10611,0,0,0,0,0.66597,4.45648,1.26198,1.94157e-05,1.94157e-05,1.94157e-05
5,5.23055,0.96287,4.67161,1.14315,0,0,0,0,0.65301,4.47214,1.24837,2.56235e-05,2.56235e-05,2.56235e-05
6,6.04461,0.82467,5.33391,1.04507,0,0,0,0,0.49557,4.57911,1.03279,3.16992e-05,3.16992e-05,3.16992e-05
7,10.068,0.62716,4.21404,0.92567,0,0,0,0,0.59346,4.43019,1.01406,3.76428e-05,3.76428e-05,3.76428e-05
8,11.7802,0.75911,3.52703,0.94476,0,0,0,0,0.59664,4.05469,1.00559,4.34544e-05,4.34544e-05,4.34544e-05
9,15.6342,0.73341,2.86705,0.99829,0.03797,0.75,0.09535,0.08167,0.57466,3.69356,0.99245,4.91339e-05,4.91339e-05,4.91339e-05
10,17.4387,0.57829,1.4687,0.92083,0.03743,0.75,0.3392,0.30528,0.49669,3.80948,0.97628,5.46813e-05,5.46813e-05,5.46813e-05
11,21.654,0.59214,1.82282,0.90332,0.07805,1,0.37865,0.34493,0.49427,3.89788,0.97117,6.00967e-05,6.00967e-05,6.00967e-05
12,23.8334,0.75042,2.24347,1.08998,0.0782,1,0.42011,0.38639,0.48202,3.90965,0.96633,6.538e-05,6.538e-05,6.538e-05
13,25.5589,0.57391,1.70619,0.90323,0.2331,0.523,0.46005,0.42234,0.48223,3.3022,0.97085,7.05312e-05,7.05312e-05,7.05312e-05
14,30.6849,0.48128,1.18104,0.8772,0.26811,0.5,0.56329,0.51318,0.48824,2.83277,0.97112,7.55504e-05,7.55504e-05,7.55504e-05
15,32.4481,0.51776,1.30028,0.93075,0.49942,0.5,0.5622,0.5122,0.48039,2.95053,0.96729,8.04375e-05,8.04375e-05,8.04375e-05
16,33.4001,0.50004,0.97558,0.82718,0.49911,0.5,0.58227,0.53234,0.45895,3.53789,0.96254,8.51926e-05,8.51926e-05,8.51926e-05
17,36.4215,0.48783,0.86803,0.81322,0.49706,0.5,0.37313,0.31508,0.442,5.50223,0.95461,8.98156e-05,8.98156e-05,8.98156e-05
18,37.3346,0.52667,0.93824,0.86764,0.49706,0.5,0.37313,0.31508,0.442,5.50223,0.95461,9.43065e-05,9.43065e-05,9.43065e-05
19,40.0583,0.48041,1.06095,0.84088,0.49828,0.5,0.40866,0.37135,0.41972,14.1815,0.9497,9.86653e-05,9.86653e-05,9.86653e-05
20,40.9826,0.56049,1.04801,0.94857,0.49828,0.5,0.40866,0.37135,0.41972,14.1815,0.9497,0.000102892,0.000102892,0.000102892
21,46.4162,0.44458,1.01941,0.86675,0.49438,0.5,0.32574,0.29317,0.47074,27.1051,0.96023,0.000106987,0.000106987,0.000106987
22,47.7113,0.49703,0.9307,0.85859,0.49438,0.5,0.32574,0.29317,0.47074,27.1051,0.96023,0.000110949,0.000110949,0.000110949
23,50.2152,0.46368,0.7262,0.85347,0.49951,0.5,0.32574,0.29317,0.48872,36.7789,0.96952,0.00011478,0.00011478,0.00011478
24,51.2006,0.42495,0.72015,0.82044,0.49951,0.5,0.32574,0.29317,0.48872,36.7789,0.96952,0.000118479,0.000118479,0.000118479
25,53.5679,0.56654,1.05985,0.89689,0.49921,0.5,0.34825,0.31343,0.45205,42.1475,0.94543,0.000122045,0.000122045,0.000122045
26,56.3113,0.56192,0.87867,0.96413,0.49921,0.5,0.34825,0.31343,0.45205,42.1475,0.94543,0.000125479,0.000125479,0.000125479
27,57.271,0.47614,1.00944,0.84701,0.28542,0.75,0.42288,0.38556,0.3735,45.0057,0.92411,0.000128782,0.000128782,0.000128782
