epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.70168,0.93358,4.49977,1.10672,0,0,0,0,0.62878,4.84666,1.26628,0,0,0
2,22.544,0.93218,4.68333,1.15994,0,0,0,0,0.52256,4.75558,1.14563,7.06931e-06,7.06931e-06,7.06931e-06
3,31.8791,0.82348,4.47256,1.01498,0,0,0,0,0.39342,5.01078,1.00044,1.39973e-05,1.39973e-05,1.39973e-05
4,40.5509,0.7498,3.52805,1.00243,0,0,0,0,0.42861,5.01949,0.98396,2.07838e-05,2.07838e-05,2.07838e-05
5,49.2983,0.84126,3.90272,1.01868,0,0,0,0,0.41414,5.0767,0.97101,2.7429e-05,2.7429e-05,2.7429e-05
6,57.814,0.68765,2.91371,0.88294,0.5,0.5,0.4975,0.24875,0.47611,5.0717,0.99457,3.39329e-05,3.39329e-05,3.39329e-05
7,67.7268,0.66331,2.69833,0.96053,0.16667,0.5,0.4975,0.4975,0.42652,5.52582,0.95859,4.02953e-05,4.02953e-05,4.02953e-05
8,78.7506,0.59457,2.30445,0.84887,0.16667,0.5,0.4975,0.4975,0.40353,5.77021,0.95365,4.65164e-05,4.65164e-05,4.65164e-05
9,88.9416,0.64159,2.22742,0.92722,0.19351,0.5,0.4975,0.4975,0.3739,5.87431,0.95433,5.25961e-05,5.25961e-05,5.25961e-05
10,99.4406,0.73495,2.43736,0.99144,0.26026,0.5,0.4975,0.4975,0.40971,5.76264,0.96032,5.85344e-05,5.85344e-05,5.85344e-05
11,109.162,0.56753,1.72642,0.90662,0.35284,0.5,0.4975,0.4975,0.3748,6.31273,0.94,6.43314e-05,6.43314e-05,6.43314e-05
12,118.247,0.60072,1.70528,0.92184,0.38184,0.5,0.4975,0.4975,0.51106,6.8703,0.97782,6.9987e-05,6.9987e-05,6.9987e-05
13,128.581,0.50794,1.39481,0.88869,0.43763,0.5,0.4975,0.4975,0.4081,7.78828,0.95278,7.55012e-05,7.55012e-05,7.55012e-05
14,139.497,0.50676,1.40825,0.86782,0.94815,0.5,0.4975,0.4975,0.38421,8.09898,0.95847,8.08741e-05,8.08741e-05,8.08741e-05
15,148.668,0.53292,1.4274,0.94145,0.96743,0.5,0.4975,0.4975,0.4095,7.15461,0.96117,8.61055e-05,8.61055e-05,8.61055e-05
16,158,0.5589,1.34628,0.90411,0.95906,0.5,0.4975,0.4975,0.45233,6.86729,0.97063,9.11957e-05,9.11957e-05,9.11957e-05
17,167.395,0.54605,1.15049,0.9054,0.95058,0.5,0.4975,0.4975,0.5089,6.58508,0.97324,9.61444e-05,9.61444e-05,9.61444e-05
